Re_W                     St_eta                   MLR                      R                        chi                      C
5.036389994815247519e+03 9.549156163960652588e-01 1.284610978447534024e-01 4.246952992327426846e-01 6.156515595819042619e-02 1.584037255015131818e+00
5.224304386454513406e+03 1.031501239393678659e+00 1.386248295107803952e-01 4.167732469771294190e-01 5.847176481517561003e-02 1.545565524680594161e+00
5.303941799920145968e+03 9.876308711645294114e-01 1.315745522190135686e-01 4.003260525575726980e-01 5.998728108788327351e-02 1.568836632921678298e+00
5.360696058248541704e+03 9.956032901688400827e-01 1.349332050208109368e-01 4.382335410746006632e-01 6.063611503017294485e-02 1.516343185237925439e+00
5.089807403001713283e+03 1.015653329132025551e+00 1.394578532876007415e-01 4.045324164505614273e-01 5.925838794135050019e-02 1.632580922914824928e+00
5.125057181720584595e+03 9.771593958787855305e-01 1.322756032080474875e-01 4.229524100716016699e-01 5.806090094482276726e-02 1.491719042182412025e+00
5.246649501551881258e+03 1.026131163714699479e+00 1.381403934587787929e-01 4.320661697805712187e-01 6.250120561332486724e-02 1.598096728304921221e+00
5.414419907631518981e+03 9.731682639701000337e-01 1.301841018121002169e-01 4.097310484665369623e-01 5.783213453806276827e-02 1.557467064585202454e+00
5.074916049580991057e+03 1.045895448579246878e+00 1.306757155479341681e-01 4.201177942897619255e-01 6.220385166914973313e-02 1.519551224977224724e+00
5.371085365682753036e+03 9.699983170902045648e-01 1.346814429914865441e-01 4.331528046100898699e-01 5.939418099884061913e-02 1.615724255370571738e+00
5.176601959380935114e+03 1.008132401363703856e+00 1.371427019656471513e-01 4.187647606911549802e-01 6.270895443910412537e-02 1.528932586619768941e+00
5.461932696293264598e+03 1.011463001157006492e+00 1.280378798918269112e-01 4.150011985191622288e-01 6.014344647568140717e-02 1.601871573701194817e+00
4.979133682496039910e+03 9.919262395548683608e-01 1.338188024930489495e-01 4.123190219168606507e-01 5.955117557187630112e-02 1.581283516798567490e+00
5.196234214770358449e+03 1.041395447644944072e+00 1.362938089401930231e-01 4.020651501383554205e-01 6.090753034163409740e-02 1.552356738824230975e+00
5.394436642183780350e+03 9.588295417288899003e-01 1.376109225381156320e-01 4.261198799134827131e-01 5.745345406817627815e-02 1.510305608269279620e+00
5.335936345059628366e+03 1.047775544438739992e+00 1.290982006088858269e-01 4.348839403874135146e-01 5.986344145450104431e-02 1.535160960881870817e+00
5.211116202895223068e+03 1.036520837999532541e+00 1.320455707867707329e-01 4.297361510841234966e-01 5.893412634872474687e-02 1.619291370480083314e+00
5.063803776921414283e+03 1.003973800938483318e+00 1.355804034221531340e-01 4.131083835534643534e-01 6.113253986958355757e-02 1.505253794300712711e+00
4.995949629147606174e+03 9.790767069799050093e-01 1.406482455391454556e-01 4.218052589745606151e-01 6.239122605768046559e-02 1.567111843665039750e+00
5.164895730641869704e+03 1.010435107852411862e+00 1.277259259408888015e-01 4.364324468450189176e-01 5.829038758570337375e-02 1.549535237993815429e+00
5.323329846120828734e+03 9.676509341122621066e-01 1.325938540291132783e-01 3.990909804385258108e-01 5.881952956387002246e-02 1.507902808303892339e+00
5.420084352833927369e+03 9.603197106707186403e-01 1.359828851618142820e-01 4.139242398195959183e-01 6.259457081883529339e-02 1.572932453388826923e+00
5.186388236135741863e+03 9.631397278775745141e-01 1.295027888813080896e-01 4.276822706034641430e-01 5.758488923694012052e-02 1.636040662613963192e+00
5.259021210497196989e+03 1.002030009731269988e+00 1.383297721456859253e-01 4.085094537265389070e-01 5.701600208655627222e-02 1.589464768397170769e+00
5.275751669042462709e+03 9.848662894492212772e-01 1.296289070502078533e-01 4.059069535799962880e-01 6.208614333720075679e-02 1.484433919474923869e+00
5.008322026223012472e+03 1.018034157385657279e+00 1.339508250686345381e-01 4.353782279401103295e-01 5.994377278101922779e-02 1.486642146453791113e+00
5.173428663429427615e+03 1.032980337993502085e+00 1.340673146260367710e-01 4.066162159038818058e-01 6.095341969590978987e-02 1.622760797352912343e+00
5.433344080054100232e+03 1.020631385766817889e+00 1.380496983818134682e-01 4.172685538510386705e-01 6.107757267891783526e-02 1.586137959655896434e+00
5.044229334347462100e+03 9.900425164826879287e-01 1.319144503553154879e-01 4.387257811742980573e-01 6.129579752640335749e-02 1.565129641391031390e+00
5.112625561220122108e+03 1.016995598697900682e+00 1.373143680381319620e-01 4.238099393422823380e-01 5.788846749662127783e-02 1.609432617346905570e+00
5.405428445418781848e+03 1.040408699748412102e+00 1.327856364937755884e-01 4.309408232140883865e-01 6.151020060351883312e-02 1.592676162686675445e+00
4.966788105125582661e+03 1.028169290365594568e+00 1.313914857404220315e-01 4.087683696721603477e-01 5.898500293340993433e-02 1.511766646958237370e+00
